Designator,Footprint,Quantity,Value,LCSC Part #
"BAU1, C_BATT1, SW_TEAM1",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,C32713268
"C1, C14, C16, C6, C9",0603,5,100nF,C1591
C10,0805,1,22uF,C602037
C11,0603,1,1uF,C15849
C12,0603,1,0.1uF,C1591
"C13, C15",Panasonic_F,2,47uF,C128464
C19,CAP_EEETC1C101V,1,100uF,C2163886
"C2, C3",0805,2,10µF,C15850
"C4, C5, C7, C8",0805,4,22µF,C602037
D1,D_SOD-123,1,"D,Zener,IEC",C41408110
D5,D_SOD-123,1,D_Schottky,C908229
"DC_A1, DC_B1",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,C37208
F1,1206,1,Fuse,C48783168
"L1, L2",L_Wurth_WE-LQSH-4020,2,4.7µH,C6364810
"Q1, Q2",SOT-223,2,PMOS,C49066897
R1,0603,1,100K,C2906980
"R10, R21, R3",0603,3,1K,C22548
R11,0603,1,2K,C105576
"R12, R13, R15, R16, R17, R18, R20, R6, R7, R8, R9",0603,11,10K,C98220
"R14, R19",0603,2,24K,C2930081
R2,0603,1,470,C4045076
R4,0603,1,2.2K,C114662
R5,0603,1,20K,C105575
"SERVO_1, SERVO_2, TEAM_RGB1",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,C32713269
SW1,PinHeader_1x02_P2.54mm_Vertical,1,SW_Reed,C32713268
"SWPUSHBOOT1, SWPUSHRESET1",Push_SMD_6.2x6.2mm,2,SMD_6.2x6.2mm_h7.0mm,C967701
"S_3.3V1, S_5V1, S_BATT1, S_ESP1",0603,4,LED,C965799
U1,ESP32-WROOM-32E,1,ESP32-WROOM-E,C701343
U2,TSOT-23-6,1,AP63205WU,C2071056
"U3, U6",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,2,DRV8871DDA,C701805
U5,TSOT-23-6,1,AP63203WU,C780769
"UART1, US1",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,C42431808
